year,authors,title,first_author,journal,citations,tags
2019,"Gibson, Ellis, Jones, ",‘Dr Google’ Will See You Now! A Review of Online Consumer Information about Anticoagulant and Antithrombotic Medication for Prevention of Recurrent Stroke,Gibson,Journal of Consumer Health on the Internet,3,CLAHRC
2020,"Wickham, Bentley, Rose, Whitehead, Taylor-Robinson, Barr, ","Effects on mental health of a UK welfare reform, Universal Credit: a longitudinal controlled study.",Wickham,Lancet Public Health,92,IPH
2022,"Paula, Annabelle, Emma, Hayley Jayne, ","Achieving parity of esteem?  The role of the voluntary, community, faith and social enterprise (VCFSE) sector within integrated care systems – a case study of Lancashire and South Cumbria VCFSE Alliance",Paula,Morecambe Bay Medical Journal,???,EPHC | IMPACT
2020,"King, McKenna, Farzan, Vijverberg, van der Schee, Maitland-van der Zee, Arianto, Bisgaard, BØnnelykke, Berce, PotoČnik, Repnik, Carleton, Daley, Chew, Chiang, Sio, Cloutier, Den Dekker, Duijts, de Jongste, Dijk, Flores, Hernandez-Pacheco, Mukhopadhyay, Basu, Tantisira, Verhamme, Celedón, Forno, Canino, Francis, Pirmohamed, Sinha, Hawcutt, ",Pharmacogenomic associations of adverse drug reactions in asthma: systematic review and research prioritisation.,King,Pharmacogenomics J,7,PCCC
2017,"Ziso, Dixon, Marson, ",Epilepsy management in older people: Lessons from National Audit of Seizure management in Hospitals (NASH).,Ziso,Seizure,18,CLAHRC
2023,"Geary, Thompson, Mizen, Akbari, Garrett, Rowney, Watkins, Lyons, Stratton, Lovell, Nieuwenhuijsen, Parker, Song, Tsimpida, White, White, Williams, Wheeler, Fry, Rodgers, ","Ambient greenness, access to local green spaces, and subsequent mental health: a 10-year longitudinal dynamic panel study of 2·3 million adults in Wales.",Geary,Lancet Planet Health,21,CHI
2017,"Rao, Sun Myint, Athanasiou, Faiz, Martin, Collins, Smith, ",Avoiding Radical Surgery in Elderly Patients With Rectal Cancer Is Cost-Effective.,Rao,Dis Colon Rectum,27,CLAHRC
2023,"Loria-Rebolledo, Watson, Hassan, Gabbay, Tahir, Hossain, Goodall, Frith, ",Public contributors' preferences for the organization of remote public involvement meetings in health and social care: A discrete choice experiment study.,Loria-Rebolledo,Health Expect,1,HACAL | Public Advisor
2024,"Hamer, Mohamed, Ali-heybe, Schnieder, Hill, ",Calcium supplementation for the prevention of hypertension: a synthesis of existing evidence and implications for practise,Hamer,British Journal of Cardiac Nursing,???,MIDAS
2022,"McHale, Maudsley, Pennington, Schlüter, Barr, Paranjothy, Taylor-Robinson, ",Mediators of socioeconomic inequalities in preterm birth: a systematic review.,McHale,BMC Public Health,30,IPH
2021,"Cheyne, Burgess, Broadbent, García-Fiñana, Stratton, Criddle, Wang, Alshukri, Rahni, Vazquez-Arango, Vora, Harding, ",Incidence of sight-threatening diabetic retinopathy in an established urban screening programme: An 11-year cohort study.,Cheyne,Diabet Med,8,HACAL
2021,"Powell, Roberts, Gabbay, Consedine, ",Care Starts at Home: Emotional State and Appeals to Altruism may Reduce Demand for Overused Health Services in the UK.,Powell,Ann Behav Med,2,HACAL
2021,"Harrison, Edwards, Hill, ",Comparing cardiac rehabilitation programmes for people with coronary heart disease,Harrison,British Journal of Cardiac Nursing,???,MIDAS | MIDAS RaCES
2021,"Boaden, Burnell, Hives, Dey, Clegg, Lyons, Lightbody, Hurley, Roddam, McInnes, Alexandrov, Watkins, ",Screening for aspiration risk associated with dysphagia in acute stroke.,Boaden,Cochrane Database Syst Rev,5,MIDAS | PCCC
2024,"Gallagher, Hill, ",Gestational Diabetes Mellitus Prevention: A Commentary,Gallagher,The Practising Midwife,0,MIDAS | MIDAS RaCES
2020,"Liabo, Boddy, Bortoli, Irvine, Boult, Fredlund, Joseph, Bjornstad, Morris, ",Public involvement in health research: what does 'good' look like in practice?,Liabo,Res Involv Engagem,49,EPHC | Public Advisor
2023,"Benedetto, Filipe, Harris, Tahir, Doherty, Clegg, ",Outcome measures for economic evaluations and cost-effectiveness analyses of interventions for people with intellectual disabilities: A methodological systematic review.,Benedetto,J Appl Res Intellect Disabil,2,MIDAS | Public Advisor
2021,"Harrison, Phoong, Hill, ",Fall prevention programmes for older adults in the community: impact on rate of falls.,Harrison,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2021,"Giebel, Hollinghurst, Akbari, Schnier, Wilkinson, North, Gabbay, Rodgers, ",Socio-economic predictors of time to care home admission in people living with dementia in Wales: A routine data linkage study.,Giebel,Int J Geriatr Psychiatry,7,CHI | HACAL
2024,"Mbizvo, Martin, Sperrin, Bonnett, Schofield, Buchan, Lip, Marson, ",An international study to investigate and optimise the safety of discontinuing valproate in young men and women with epilepsy: Protocol.,Mbizvo,PLoS One,1,CHI | PCCC | Public Advisor
2021,"Saini, Hassan, Morasae, Goodall, Giebel, Ahmed, Pearson, Harper, Cloke, Irvine, Gabbay, ",The value of involving patients and public in health services research and evaluation: a qualitative study.,Saini,Res Involv Engagem,17,HACAL | Public Advisor
2016,"Maden, Kotas, ",Evaluating Approaches to Quality Assessment in Library and Information Science LIS Systematic Reviews: A Methodology Review,Maden,Evidence Based Library and Information Practice,6,CLAHRC
2022,"Hill, Mansoor, Hamer, Gomez, Clegg, ",Predictors Of Post-Operative Negative Outcomes in Patients Undergoing Transcatheter Aortic Valve Implantation.,Hill,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2024,"Harris, Packwood, Wood, Loughran, Wheeler, Hill, ",School-based indicated prevention interventions for anxiety in children and adolescents: A commentary on a systematic review,Harris,British Journal of Child Health,???,EPHC | MIDAS
2022,"Hamer, Lowther, Harrison, Hill, ",Effectiveness of quality improvement collaboratives in improving clinical processes and patient outcomes in stroke care.,Hamer,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2016,"Weston, Bromley, Jackson, Adab, Clayton-Smith, Greenhalgh, Hounsome, McKay, Tudur Smith, Marson, ",Monotherapy treatment of epilepsy in pregnancy: congenital malformation outcomes in the child.,Weston,Cochrane Database Syst Rev,235,CLAHRC
2023,"Taylor, Smith, Prato, Damant, Jasim, Toma, Hamashima, McLeod, Towers, Keemink, Nwolise, Giebel, Fitzpatrick, ",Care Planning Interventions for Care Home Residents: A Scoping Review,Taylor,Journal of Long-Term Care,0,HACAL
2018,"Male, Noble, Snape, Dixon, Marson, ",Perceptions of emergency care using a seizure care pathway for patients presenting to emergency departments in the North West of England following a seizure: a qualitative study.,Male,BMJ Open,7,CLAHRC
2022,"Ward, Halliday, Holt, Khan, Sadler, Wheeler, Goldthorpe, ",How did communities in North West England respond to the COVID-19 lockdown? Findings from a diary study.,Ward,BMJ Open,2,EPHC
2023,"Mansoor, Hebatalla, Hill, ",Effectiveness of home-based end-of-life care.,Mansoor,Br J Community Nurs,1,MIDAS | MIDAS RaCES
2024,"Woods, Doherty, Hill, ",Dietary interventions in autism: a critical appraisal and commentary on the findings of a systematic review.,Woods,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Booker, Walker, Young, Porroche-Escudero, ",A critical air quality science perspective on citizen science in action,Booker,Local Environment,3,EPHC
2021,"Milburn-McNulty, Panebianco, Marson, ",Sulthiame monotherapy for epilepsy.,Milburn-McNulty,Cochrane Database Syst Rev,3,PCCC
2019,"Adams, Rose, Elliot, Smith, Morbey, Loveridge, Lewis, Studdard, Violato, O'Brien, Whitehead, Taylor-Robinson, Hawker, Barr, ",Social patterning of telephone health-advice for diarrhoea and vomiting: analysis of 24 million telehealth calls in England.,Adams,J Infect,4,CLAHRC
2021,"Stockley, Jarvis, Boland, Clegg, ",Systematic Review and Meta-Analysis of the Effectiveness of Mental Practice for the Upper Limb After Stroke: Imagined or Real Benefit?,Stockley,Arch Phys Med Rehabil,18,CHI | MIDAS
2017,"Hanna, Hepworth, Rowe, ",Screening methods for post-stroke visual impairment: a systematic review.,Hanna,Disabil Rehabil,36,CLAHRC
2024,"van der Feltz-Cornelis, Sweetman, Turk, Allsopp, Gabbay, Khunti, Williams, Montgomery, Heightman, Lip, Crooks, Strain, Loveless, Hishmeh, Smith, Banerjee, ",Integrated care policy recommendations for complex multisystem long term conditions and long COVID.,van der Feltz-Cornelis,Sci Rep,2,HACAL
2022,"Giebel, Ivan, Ddumba, ",COVID-19 Public Health Restrictions and Older Adults' Well-being in Uganda: Psychological Impacts and Coping Mechanisms.,Giebel,Clin Gerontol,15,HACAL
2021,"Maguire, Marson, Nevitt, ",Antidepressants for people with epilepsy and depression.,Maguire,Cochrane Database Syst Rev,19,PCCC
2022,"Downing, Taylor, Mountain, Barr, Daras, Comerford, Marson, Pirmohamed, Dondelinger, Alfirevic, ",Socioeconomic and health factors related to polypharmacy and medication management: analysis of a Household Health Survey in North West Coast England.,Downing,BMJ Open,1,CHI | IPH | PCCC | Public Advisor
2024,"Mayer, Fawzy, Bisson, Pasi, Bodin, Vigny, Herbert, Marson, Lip, Fauchier, ",Epilepsy and the risk of adverse cardiovascular events: A nationwide cohort study.,Mayer,Eur J Neurol,7,PCCC
2024,"McHale, Filipe, Hodgson, Bennett, Barr, ",What factors are associated with children being taken into care by the state after initial contact with services? A survival analysis of Children’s Social Care data in Liverpool,McHale,BMJ Public Health,???,IPH | MIDAS
2020,"Gillespie, Walker, Latimer, Thalib, Whitty, McInnes, Chaboyer, ",Repositioning for pressure injury prevention in adults.,Gillespie,Cochrane Database Syst Rev,49,MIDAS
2016,"Nolan, Tudur Smith, Weston, Marson, ",Lamotrigine versus carbamazepine monotherapy for epilepsy: an individual participant data review.,Nolan,Cochrane Database Syst Rev,22,CLAHRC
2020,"Hassan, Giebel, Morasae, Rotheram, Mathieson, Ward, Reynolds, Price, Bristow, Kullu, ",Social prescribing for people with mental health needs living in disadvantaged communities: the Life Rooms model.,Hassan,BMC Health Serv Res,33,HACAL | Public Advisor
2016,"Shiels, Gabbay, Hillage, ",Recurrence of sickness absence episodes certified by general practitioners in the UK.,Shiels,Eur J Gen Pract,3,CLAHRC
2018,"McIntyre, Wickham, Barr, Bentall, ",Social Identity and Psychosis: Associations and Psychological Mechanisms.,McIntyre,Schizophr Bull,60,CLAHRC
2018,"Nevitt, Marson, Weston, Tudur Smith, ",Sodium valproate versus phenytoin monotherapy for epilepsy: an individual participant data review.,Nevitt,Cochrane Database Syst Rev,26,CLAHRC
2024,"Turk, Sweetman, Chew-Graham, Gabbay, Shepherd, van der Feltz-Cornelis, ",Accessing care for Long Covid from the perspectives of patients and healthcare practitioners: A qualitative study.,Turk,Health Expect,10,HACAL
2021,"Simpson, Furlong, Giebel, ",Exploring the enablers and barriers to social prescribing for people living with long-term neurological conditions: a focus group investigation.,Simpson,BMC Health Serv Res,10,HACAL
2021,"Avraam, Wilson, Butters, Burton, Nicolaides, Jones, Boyd, Burton, ",Privacy preserving data visualizations.,Avraam,EPJ Data Sci,13,CHI
2018,"McIntyre, Worsley, Corcoran, Harrison Woods, Bentall, ",Academic and non-academic predictors of student psychological distress: the role of social identity and loneliness.,McIntyre,J Ment Health,153,CLAHRC
2024,"Khan, Tierney, Owen, ",Applying an equity lens to social prescribing.,Khan,J Public Health (Oxf),1,EPHC
2017,"Martin, Downing, Maden, Fleeman, Alfirevic, Haycox, Pirmohamed, ",An assessment of the impact of pharmacogenomics on health disparities: a systematic literature review.,Martin,Pharmacogenomics,20,CLAHRC
2020,"Giebel, Zwakhalen, Louise Sutcliffe, Verbeek, ",Exploring the abilities of performing complex daily activities in dementia: the effects of supervision on remaining independent.,Giebel,Aging Ment Health,2,CLAHRC
2021,"Lowther, Harrison, Hill, Gaskins, Lazo, Clegg, Connell, Garrett, Gibson, Lightbody, Watkins, ",The effectiveness of quality improvement collaboratives in improving stroke care and the facilitators and barriers to their implementation: a systematic review.,Lowther,Implement Sci,19,MIDAS | Public Advisor
2022,"Gilbert, Harris, Miles, Weir-McCall, Qureshi, Rintoul, Dizdarevic, Pike, Sinclair, Shah, Eaton, Jones, Clegg, Benedetto, Hill, Cook, Tzelis, Vale, Brindle, Madden, Cozens, Little, Eichhorst, Moate, McClement, Peebles, Banerjee, Han, Poon, Groves, Kurban, Frew, Callister, Crosbie, Gleeson, Karunasaagarar, Kankam, George, ",Comparative accuracy and cost-effectiveness of dynamic contrast-enhanced CT and positron emission tomography in the characterisation of solitary pulmonary nodules.,Gilbert,Thorax,7,MIDAS
2023,"Harris, Gibbon, Hill, ",Impact of the built environment on stroke inpatient rehabilitation.,Harris,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES | Public Advisor
2019,"Rutherford, Sharp, Hill, Pickles, Taylor-Robinson, ",How does perinatal maternal mental health explain early social inequalities in child behavioural and emotional problems? Findings from the Wirral Child Health and Development Study.,Rutherford,PLoS One,7,CLAHRC
2021,"Daniels, Hollinghurst, Fry, Clegg, Hillcoat-Nallétamby, Nikolova, Rodgers, Williams, Akbari, ",The Value of Routinely Collected Data in Evaluating Home Assessment and Modification Interventions to Prevent Falls in Older People: Systematic Literature Review.,Daniels,JMIR Aging,0,CHI | MIDAS
2018,"Panebianco, Prabhakar, Marson, ",Rufinamide add-on therapy for refractory epilepsy.,Panebianco,Cochrane Database Syst Rev,5,CLAHRC
2023,"Chalmers, Hill, Connell, Ackerley, Kulkarni, Roddam, ",The value of allied health professional research engagement on healthcare performance: a systematic review.,Chalmers,BMC Health Serv Res,6,MIDAS
2023,"Panebianco, Walker, Marson, ",Immunomodulatory interventions for focal epilepsy.,Panebianco,Cochrane Database Syst Rev,1,PCCC
2023,"Giebel, Cations, Draper, Komuravelli, ",Ethnic disparities in the uptake of anti-dementia medication in young and late-onset dementia.,Giebel,Int Psychogeriatr,15,HACAL | MIDAS
2018,"Phillips, Sukasem, Whirl-Carrillo, Müller, Dunnenberger, Chantratita, Goldspiel, Chen, Carleton, George, Mushiroda, Klein, Gammal, Pirmohamed, ",Clinical Pharmacogenetics Implementation Consortium Guideline for HLA Genotype and Use of Carbamazepine and Oxcarbazepine: 2017 Update.,Phillips,Clin Pharmacol Ther,214,CLAHRC
2018,"Corcoran, Marshall, Walsh, ",The psychological benefits of cooperative place-making: a mixed methods analyses of co-design workshops,Corcoran,CoDesign,14,CLAHRC
2015,"Whiteford, Simpson, ",Who is left standing when the tide retreats? Negotiating hospital discharge and pathways of care for homeless people,Whiteford,"Housing, Care and Support",7,CLAHRC
2023,"Schneider, Hamer, Smith, Hill, ",Beyond body mass index: a synthesis of lifestyle factors that may influence in vitro fertilisation outcomes.,Schneider,Br J Midwifery,0,MIDAS | MIDAS RaCES
2021,"Marson, Burnside, Appleton, Smith, Leach, Sills, Tudur-Smith, Plumpton, Hughes, Williamson, Baker, Balabanova, Taylor, Brown, Hindley, Howell, Maguire, Mohanraj, Smith, ","The SANAD II study of the effectiveness and cost-effectiveness of levetiracetam, zonisamide, or lamotrigine for newly diagnosed focal epilepsy: an open-label, non-inferiority, multicentre, phase 4, randomised controlled trial.",Marson,Lancet,122,PCCC
2023,"Blundell-White, Harrison, Hill, ",Dementia and the prison population: identifying need.,Blundell-White,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Polden, Hanna, Ward, Ahmed, Brown, Holland, Barrow, Main, Mann, Pendrill, Giebel, ",Do community-based singing interventions have an impact on people living with dementia and their carers? A mixed-methods study protocol.,Polden,BMJ Open,0,EPHC | HACAL | Public Advisor
2017,"Male, Noble, Atkinson, Marson, ",Measuring patient experience: a systematic review to evaluate psychometric properties of patient reported experience measures (PREMs) for emergency care service provision.,Male,Int J Qual Health Care,86,CLAHRC
2018,"Mosedale, Simpson, Popay, McGill, Cooper, Taylor, Fisher, Sant, ",Tackling vulnerability to debt. Affordable lending alternatives and financial education: an evidence review,Mosedale,Journal of Poverty and Social Justice,2,CLAHRC
2021,"Khan, Porroche-Escudero, Georgiou, Popay, ",Building Heath Research Capacity: The Impact of a United Kingdom Collaborative Programme,Khan,Internet Journal of Allied Health Sciences and Practice,???,EPHC | IMPACT
2016,"Leone, Giussani, Nolan, Marson, Beghi, ","Immediate antiepileptic drug treatment, versus placebo, deferred, or no treatment for first unprovoked seizure.",Leone,Cochrane Database Syst Rev,35,CLAHRC
2022,"Hill, Thetfor, Gibson, ",Comparing models of organised inpatient stroke care.,Hill,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2023,"Noble, Dixon, Roper, Marson, Mirza, ",Statins as an antiepileptogenic or disease-modifying treatment? A survey of what UK patients and significant others think about repurposing and trialing them for epilepsy.,Noble,Epilepsy Behav,0,CHI | PCCC
2020,"Panebianco, Bresnahan, Ramaratnam, Marson, ",Lamotrigine add-on therapy for drug-resistant focal epilepsy.,Panebianco,Cochrane Database Syst Rev,20,PCCC
2019,"Allen, Rogers, Harris, ",Socio-economic differences in patient participation behaviours in doctor-patient interactions-A systematic mapping review of the literature.,Allen,Health Expect,14,CLAHRC
2022,"Pennington, Price, Bell, Hill, ","Prevalence, severity and preventability of prehospital patient safety incidents",Pennington,Journal of Paramedic Practice,???,MIDAS | MIDAS RaCES
2017,"Nevitt, Sudell, Weston, Tudur Smith, Marson, ",Antiepileptic drug monotherapy for epilepsy: a network meta-analysis of individual participant data.,Nevitt,Cochrane Database Syst Rev,???,CLAHRC
2024,"King, Fegan, Morgan, Hill, Harrison, ",Commentary on packing vs non-packing of pilonidal sinus cavities after incision and drainage.,King,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2024,"Graham, Gardner, Sebalo, Benedetto, Clegg, Thornton, ",Designing Community Services for People With Borderline Personality Disorder to Reduce Hospitalizations.,Graham,Psychiatr Serv,0,MIDAS
2023,"Kallweit, Marson, ",Neurology beyond big data - the ninth Congress of the EAN.,Kallweit,Nat Rev Neurol,0,PCCC
2021,"Mason, Alexiou, Bennett, Summerbell, Barr, Taylor-Robinson, ",Impact of cuts to local government spending on Sure Start children's centres on childhood obesity in England: a longitudinal ecological study.,Mason,J Epidemiol Community Health,17,IPH
2017,"Bagot, Cadilhac, Bladin, Watkins, Vu, Donnan, Dewey, Emsley, Davies, Day, Ford, Price, May, McLoughlin, Gibson, Lightbody, ",Integrating acute stroke telemedicine consultations into specialists' usual practice: a qualitative analysis comparing the experience of Australia and the United Kingdom.,Bagot,BMC Health Serv Res,17,CLAHRC
2018,"Anderson de Cuevas, Saini, Roberts, Beaver, Chandrashekar, Jain, Kotas, Tahir, Ahmed, Brown, ",A systematic review of barriers and enablers to South Asian women's attendance for asymptomatic screening of breast and cervical cancers in emigrant countries.,Anderson de Cuevas,BMJ Open,46,CLAHRC | Public Advisor
2016,"Ramaratnam, Panebianco, Marson, ",Lamotrigine add-on for drug-resistant partial epilepsy.,Ramaratnam,Cochrane Database Syst Rev,21,CLAHRC
2023,"Ritchie, Harrison, Penson, Akbari, Torabi, Hollinghurst, Harris, Oke, Akpan, Halcox, Rodgers, Lip, Lane, ",Anticoagulation in older people with atrial fibrillation moving to care homes: a data linkage study.,Ritchie,Br J Gen Pract,5,CHI
2020,"Lambert, Doherty, Wilson, Chauhan, Mahadevan, ",GP perceptions of community-based children's mental health services in Pennine Lancashire: a qualitative study.,Lambert,BJGP Open,4,HACAL | MIDAS
2020,"Saini, McIntyre, Corcoran, Daras, Giebel, Fuller, Shelton, Wilson, Comerford, Nathan, Gabbay, ",Predictors of emergency department and GP use among patients with mental health conditions: a public health survey.,Saini,Br J Gen Pract,17,CHI | HACAL | IPH | Public Advisor
2023,"Bradley, Harrison, Goodall, Dobrashian, ",Are Advanced Clinical Practitioners perfectly placed to re-report neuroimages to support clinical diagnosis of dementia?,Bradley,Int J Adv Pract,???,MIDAS | MIDAS RaCES
2024,"Holmes, Dixon, Mathieson, Ridsdale, Morgan, McKinlay, Dickson, Goodacre, Jackson, Foster, Hardman, Bell, Marson, Hughes, Noble, ",Developing an alternative care pathway for emergency ambulance responses for adults with epilepsy: A Discrete Choice Experiment to understand which configuration service users prefer. Part of the COLLABORATE project.,Holmes,Seizure,1,PCCC
2024,"Wareing, Readman, Longo, Linkenauger, Crawford, ","The Utility of Heartrate and Heartrate Variability Biofeedback for the Improvement of Interoception across Behavioural, Physiological and Neural Outcome Measures: A Systematic Review.",Wareing,Brain Sci,2,HACAL
2022,"Popay, Kaloudis, Heaton, Barr, Halliday, Holt, Khan, Porroche-Escudero, Ring, Sadler, Simpson, Ward, Wheeler, ",System resilience and neighbourhood action on social determinants of health inequalities: an English Case Study.,Popay,Perspect Public Health,4,CLAHRC
2020,"Alfirevic, Downing, Daras, Comerford, Pirmohamed, Barr, ",Has the introduction of direct oral anticoagulants (DOACs) in England increased emergency admissions for bleeding conditions? A longitudinal ecological study.,Alfirevic,BMJ Open,20,CHI | IPH | PCCC | Public Advisor
2017,"Downing, Gleeson, Clayton, Davis, Dimitri, Wales, Young, Callery, ",Communication with young people in paediatric and adult endocrine consultations: an intervention development and feasibility study.,Downing,BMC Endocr Disord,9,CLAHRC
2021,"Lunt, Dowrick, Lloyd-Williams, ",What is the impact of day care on older people with long-term conditions: A systematic review.,Lunt,Health Soc Care Community,17,HACAL
2021,"Alsallakh, Rodgers, Lyons, Sheikh, Davies, ","Association of socioeconomic deprivation with asthma care, outcomes, and deaths in Wales: A 5-year national linked primary and secondary care cohort study.",Alsallakh,PLoS Med,17,CHI
2024,"Polden, Faulkner, Holland, Hanna, Ward, Ahmed, Brown, Barrow, Main, Mann, Pendrill, Giebel, ","The effects of singing interventions on quality of life, mood and levels of agitation in community-dwelling people living with dementia: A quantitative systematic review.",Polden,Dementia (London),0,HACAL
2023,"Ceballos-Rasgado, Lowe, Moran, Clegg, Mallard, Harris, Montez, Xipsiti, ","Toward revising dietary zinc recommendations for children aged 0 to 3 years: a systematic review and meta-analysis of zinc absorption, excretion, and requirements for growth.",Ceballos-Rasgado,Nutr Rev,5,MIDAS
2024,"Giebel, Gabbay, Shrestha, Saldarriaga, Reilly, White, Liu, Allen, Zuluaga, ",Community-based mental health interventions in low- and middle-income countries: a qualitative study with international experts.,Giebel,Int J Equity Health,0,HACAL | Public Advisor
2020,"Hill, Gomez, Clegg, ",Fathers report experiencing negative feelings and psychological difficulties during the perinatal period.,Hill,Evid Based Nurs,0,MIDAS | MIDAS RaCES
2021,"Landry, Giebel, Cryer, ",Health system strengthening in fragile and conflict-affected states: a call to action.,Landry,BMC Health Serv Res,6,HACAL
2020,"Byrne, Thetford, Gabbay, Clarke, Doncaster, Harding, ",Personalising screening of sight-threatening diabetic retinopathy - qualitative evidence to inform effective implementation.,Byrne,BMC Public Health,6,HACAL
2022,"Worsley, McKeown, Wilson, Corcoran, ","A qualitative evaluation of coproduction of research: 'If you do it properly, you will get turbulence'.",Worsley,Health Expect,16,HACAL | Public Advisor
2017,"Elahi, Perez Algorta, Varese, McIntyre, Bentall, ",Do paranoid delusions exist on a continuum with subclinical paranoia? A multi-method taxometric study.,Elahi,Schizophr Res,85,CLAHRC
2022,"Patel, Auton, Watkins, Sutton, Benedetto, Hackett, Holland, Lightbody, ",Delivering motivational interviewing early post stroke: standardisation of the intervention.,Patel,Disabil Rehabil,3,MIDAS
2022,"Ibiwoye, ",Research Unwrapped 1. The Impact Of Covid-19 On Perinatal Mental Health – Part 1,Ibiwoye,The Practising midwife,0,MIDAS | MIDAS RaCES
2020,"Giebel, Hanna, Cannon, Eley, Tetlow, Gaughan, Komuravelli, Shenton, Rogers, Butchard, Callaghan, Limbert, Rajagopal, Ward, Shaw, Whittington, Hughes, Gabbay, ",Decision-making for receiving paid home care for dementia in the time of COVID-19: a qualitative study.,Giebel,BMC Geriatr,75,HACAL | Public Advisor
2022,"Reeves, Thetford, McMahon, Forshaw, Brown, Joshi, Watkins, ","Life and Leisure Activities following Stroke or Transient Ischaemic Attack (TIA): An Observational, Multi-Centre, 6-Month Follow-Up Study.",Reeves,Int J Environ Res Public Health,1,IMPACT
2022,"Hamer, Mansoor, Tailor, Hill, ","The effect of anticoagulants on clinical outcomes of mortality, stroke, myocardial infarction, pulmonary embolism, and major bleeding for patients with heart failure in sinus rhythm.",Hamer,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2016,"Whiteford, Simpson, ","“There is still a perception that homelessness is a housing problem”: devolution, homelessness and health in the UK",Whiteford,"Housing, Care and Support",4,CLAHRC
2023,"Teodorowski, Gleason, Gregory, Martin, Punjabi, Steer, Savasir, Vema, Murray, Ward, Chapko, ",Participatory evaluation of the process of co-producing resources for the public on data science and artificial intelligence.,Teodorowski,Res Involv Engagem,1,CHI
2022,"Giebel, Hanna, Marlow, Cannon, Tetlow, Shenton, Faulkner, Rajagopal, Mason, Gabbay, ","Guilt, tears and burnout-Impact of UK care home restrictions on the mental well-being of staff, families and residents.",Giebel,J Adv Nurs,25,HACAL | Public Advisor
2020,"Greenhalgh, Weston, Dundar, Nevitt, Marson, ",Antiepileptic drugs as prophylaxis for postcraniotomy seizures.,Greenhalgh,Cochrane Database Syst Rev,25,PCCC
2020,"Harrison, Devereux, ","Living a life, not an illness: the process of living well with advanced cancer.",Harrison,Evid Based Nurs,0,CLAHRC
2021,"Popay, Whitehead, Ponsford, Egan, Mead, ","Power, control, communities and health inequalities I: theories, concepts and analytical frameworks.",Popay,Health Promot Int,62,CLAHRC
2019,"Graham, Sullivan, Briggs, Goodall, Iraci Capucinello, ",A preliminary service evaluation of a personality disorder case management service.,Graham,Personal Ment Health,3,CLAHRC
2023,"Corcoran, Ujhelyi Gomez, Simpson, Goodall, Bennett, Gabbay, Wilson, Obe, Pennington, Bagnall, South, ","The Wellbeing in Place Perceptions Scale: Structure, Validity, Reliability and Correlates During COVID Times",Corcoran,International Journal of Community Well-Being,1,HACAL | MIDAS | Public Advisor
2022,"Hanna, Giebel, Tetlow, Ward, Shenton, Cannon, Komuravelli, Gaughan, Eley, Rogers, Rajagopal, Limbert, Callaghan, Whittington, Butchard, Shaw, Gabbay, ",Emotional and Mental Wellbeing Following COVID-19 Public Health Measures on People Living With Dementia and Carers.,Hanna,J Geriatr Psychiatry Neurol,58,HACAL | Public Advisor
2020,"Halliday, Popay, Anderson de Cuevas, Wheeler, ",The elephant in the room? Why spatial stigma does not receive the public health attention it deserves.,Halliday,J Public Health (Oxf),23,CLAHRC
2023,"Sam, Hill, Hamer, ",Recruiting adults of ethnic minorities into clinical trials: a synthesis of strategies.,Sam,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2022,"Daras, Baker, Rafferty, Oates, Edwards, Wyatt, Barr, ",Socioeconomic differences in recruitment and sickness absence in a large NHS health organisation: a cross-sectional study.,Daras,BMJ Open,0,CHI | IPH
2020,"Bennett, Mason, Schlüter, Wickham, Lai, Alexiou, Barr, Taylor-Robinson, ",Trends in inequalities in Children Looked After in England between 2004 and 2019: a local area ecological analysis.,Bennett,BMJ Open,22,IPH
2015,"Farooq, Taylor, Gire, Riley, Caton, Husain, ",Digital inclusion: The concept and strategies for people with mental health difficulties.,Farooq,Aust N Z J Psychiatry,10,CLAHRC
2023,"van Staa, Pirmohamed, Sharma, Buchan, Ashcroft, ",Clinical Relevance of Drug-Drug Interactions With Antibiotics as Listed in a National Medication Formulary: Results From Two Large Population-Based Case-Control Studies in Patients Aged 65-100 Years Using Linked English Primary Care and Hospital Data.,van Staa,Clin Pharmacol Ther,2,HACAL
2021,"Katikireddi, Lal, Carrol, Niedzwiedz, Khunti, Dundas, Diderichsen, Barr, ",Unequal impact of the COVID-19 crisis on minority ethnic groups: a framework for understanding and addressing inequalities.,Katikireddi,J Epidemiol Community Health,112,IPH
2016,"Atim-Oluk, Jackson, Marson, ",Oxcarbazepine add-on for drug-resistant partial epilepsy,Atim-Oluk,Cochrane Database of Systematic Reviews,10,CLAHRC
2018,"Nevitt, Tudur Smith, Marson, ",Oxcarbazepine versus phenytoin monotherapy for epilepsy: an individual participant data review.,Nevitt,Cochrane Database Syst Rev,6,CLAHRC
